ingredient_id,ingredient_name,norm_name
2459,TJ's Organic Tomatoes on the Vine,tomatoes vine
2460,TJ's Green Dragon Hot Sauce,green dragon hot sauce
2461,TJ's Garlic & Herb Pizza Dough,garlic & herb pizza dough
2462,TJ's Fresh Garlic,garlic
2463,TJ's Dutch Yellow Potatoes,dutch yellow potatoes
2464,TJ's Fresh Rosemary,rosemary
2465,"TJ's Pound Plus Milk Chocolate, broken into chunks",milk chocolate
2466,"TJ's Butter Toffee Pretzels (seasonal), divided",butter toffee pretzels
2467,"TJ's Mini Marshmallows, divided",mini marshmallows
2468,Crème Fraîche,crème fraîche
2469,TJ's Farfalle Pasta,farfalle pasta
2470,TJ's Frozen Peas,frozen peas
2471,TJ's Frozen Wild Boreal Blueberries,frozen wild boreal blueberries
2472,"TJ's Lemons, zested",lemons
2473,TJ's Lemon Curd,lemon curd
2474,TJ's Organic Corn Chip Dippers,corn chip dippers
2475,"TJ's Organic Vegetarian Chili, heated according to package directions",vegetarian chili
2476,TJ's Shredded Three Cheese Mexican Blend,shredded cheese mexican blend
2477,TJ's Hot & Sweet Jalapeños,hot & sweet jalapeños
2478,Sunflower Oil,oil
2479,TJ’s 2% Milk,milk
2480,"TJ’s Sharp Cheddar Cheese, shredded",sharp cheddar cheese
2481,TJ’s Fully Cooked Uncured Applewood Smoked Bacon,uncured applewood smoked bacon
2482,(7.5 oz.) Crème Fraiche,crème fraiche
2483,(8 oz.) Mascarpone,mascarpone
2484,Dijon Mustard,dijon mustard
2485,TJ's Steamed & Fully Cooked Lentils,steamed & fully cooked lentils
2486,TJ's Organic Crumbled Feta Cheese,crumbled feta cheese
2487,TJ's Bruschetta Sauce,bruschetta sauce
2488,TJ's Chevre Fine Herbs Goat Cheese,chevre fine herbs goat cheese
2489,"Your favorite raw green vegetables & fruit (we used green bell pepper, snap peas, Persian cucumbers, baby broccoli, green grapes) and/or your favorite cooked green vegetables (blanched asparagus, sautéed shishito peppers)",green vegetables & fruit green bell pepper
2490,TJ's Dry Roasted & Salted Pistachio Nutmeats,dry roasted & salted pistachio nutmeats
2491,TJ's Green Olives,green olives
2492,TJ's English Muffins,english muffins
2493,"TJ's Egg Frittata, microwaved according to package instructions",egg frittata
2494,"TJ's Fully Cooked Bacon, microwaved according to package instructions",bacon
2495,"TJ's Tomato, thinly sliced",tomato
2496,"TJ's Olive Oil, divided",extra virgin olive oil
2497,"TJ's Soy Chorizo, removed from casing",soy chorizo
2498,TJ's Extra Large Eggs,extra eggs
2499,TJ's Sea Salt & Black Pepper,sea salt & black pepper
2500,"TJ's Corn & Wheat Tortillas, or your favorite TJ's tortillas",corn & wheat tortillas
2501,TJ's Mild or Hot Pico de Gallo Salsa,mild or hot pico gallo salsa
2502,"TJ's Avocado, cubed, for garnish",avocado
2503,bag Organic Elote Corn Chip Dippers,elote corn chip dippers
2504,TJ's Unbleached Enriched All-Purpose Flour,all-purpose flour
2505,TJ's Everything But The Elote Seasoning Blend,everything elote seasoning blend
2506,"TJ's Eggs, whisked",eggs
2507,TJ's Organic Boneless & Skinless Chicken Tenders,boneless & skinless chicken tenders
2508,TJ's sauce for dipping,sauce
2509,TJ's Organic Popping Corn,corn
2510,TJ's Everything but the Elote Seasoning Blend,everything elote seasoning blend
2511,"TJ's Super Premium French Vanilla Ice Cream, softened",super premium french vanilla ice cream
2512,TJ's Lemon curd,lemon curd
2513,"TJ's Wild Boreal Blueberries, thawed and drained",wild boreal blueberries
2514,TJ's Blueberry Waffles,blueberry waffles
2515,TJ's Bananas,bananas
2516,"TJ's Organic Pure Bourbon Vanilla Flavor (for best results, do not substitute vanilla extract)",pure bourbon vanilla flavor results
2517,"TJ's Watermelon, plus a few more cubes for garnish",watermelon
2518,TJ's Vodka,vodka
2519,TJ's Sparkling Watermelon Juice (seasonal),watermelon juice
2520,TJ's Old Fashioned Potato Salad,old potato salad
2521,"TJ’s Persian Cucumber, thinly sliced",persian cucumber
2522,"TJ’s Red Bell Pepper, cored, de-seeded and diced",red bell pepper
2523,TJ’s Feta Cheese Crumbles,feta cheese crumbles
2524,"TJ’s Kalamata Olives, drained and sliced in half",kalamata olives
2525,"TJ’s Fresh Parsley, chopped",parsley
2526,"TJ's Traditional Tunisian Harissa (or more, if you're feeling brave!)",tunisian harissa or
2527,"TJ's Uncured Apple Smoked Bacon, cooked and crumbled",apple smoked bacon
2528,TJ's Butternut Squash Zigzags,butternut squash zigzags
2529,"TJ's Organic Peas, thawed",peas
2530,TJ's Yellow Curry Sauce,yellow curry sauce
2531,TJ's Cauliflower Gnocchi,cauliflower gnocchi
2532,TJ's Olive Oil or Ghee,extra virgin olive oil
2533,"TJ's Fresh Basil, chopped, for garnish",basil
2534,"Garlic Naan Crackers, for serving (optional)",garlic naan crackers
2535,"TJ's Pasta (Macaroni, Farfalle, Fusilli, etc.)",pasta macaroni
2536,"TJ's Cream Cheese, cubed",cream cheese
2537,TJ's Garlic Powder (optional),garlic powder
2538,TJ's Shredded Unexpected Cheddar,cheddar
2539,"TJ's Green Onions and crumbled TJ's Fully Cooked Bacon, for garnish",green onions and fully cooked bacon
2540,TJ's Canola Oil or Olive Oil,extra virgin olive oil
2541,TJ's Ground Chicken or Ground Beef,ground chicken or ground beef
2542,TJ's Taco Seasoning Mix (use the whole packet if you like it really spicy),taco seasoning mix
2543,TJ's Organic Stone Ground Yellow Corn Taco Shells,stone ground yellow corn taco shells
2544,"TJs Red Onion, diced",tjs red onion
2545,"TJ's Avocados, peeled and cubed",avocados
2546,TJ's Pickled Fermented Jalapeño Slices,jalapeño slices
2547,TJ's squash,squash
2548,TJ's Chevre Goat Cheese Log (5 oz.),chevre goat cheese log
2549,"TJ's Raw Pumpkin Seeds, dry toasted",pumpkin seeds
2550,TJ's Canola Oil Spray (to grease sheet pan),canola oil spray
2551,TJ's Organic Spanish Extra Virgin Olive Oil (or your favorite TJ's Extra Virgin Olive Oil),extra virgin olive oil
2552,TJ's Clementines OR 1/2 cup orange juice,clementines or / cup orange juice
2553,"TJ's Clementines OR oranges, plus more for garnish",clementines or oranges
2554,TJ's Vanilla Paste,vanilla paste
2555,"TJ's Organic Garbanzo beans, drained",garbanzo beans
2556,TJ's Raw Cashew Pieces,cashew pieces
2557,TJ's Organic Romaine Salad,romaine salad
2558,TJ's Vegan Caesar Dressing,vegan caesar dressing
2559,"TJ's Lemon, cut into wedges",lemon
2560,TJ's Fresh Parsley,parsley
2561,"TJ's Organic Garlic Powder OR 1 clove TJ's Garlic, minced",garlic powder or garlic
2562,TJ's Organic White Bread (or your favorite TJ's sandwich bread),white bread
2563,"TJ's Shredded Unexpected Cheddar, divided",cheddar
2564,"TJ's Brussels Sprouts, trimmed and halved",brussels sprouts
2565,"TJ's Red Onion, cut into chunks",red onion
2566,"TJ's Everything But The Leftovers Seasoning, divided (seasonal)",everything leftovers seasoning
