title,category,quantity_text,url,image_url,serves,time,name
Baked Apple Cinnamon French Toast,Breakfast,6,https://www.traderjoes.com/home/recipes/baked-apple-cinnamon-french-toast,https://www.traderjoes.com/content/dam/trjo/context-images/81676-apple-cinn-sourdough-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 8-10,Time 50 mins,eggs
Baked Apple Cinnamon French Toast,Breakfast,1 pint,https://www.traderjoes.com/home/recipes/baked-apple-cinnamon-french-toast,https://www.traderjoes.com/content/dam/trjo/context-images/81676-apple-cinn-sourdough-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 8-10,Time 50 mins,brown sugat oat creamer
Baked Apple Cinnamon French Toast,Breakfast,1 loaf,https://www.traderjoes.com/home/recipes/baked-apple-cinnamon-french-toast,https://www.traderjoes.com/content/dam/trjo/context-images/81676-apple-cinn-sourdough-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 8-10,Time 50 mins,sliced apple cinnamon sourdough bread
Baked Apple Cinnamon French Toast,Breakfast,1,https://www.traderjoes.com/home/recipes/baked-apple-cinnamon-french-toast,https://www.traderjoes.com/content/dam/trjo/context-images/81676-apple-cinn-sourdough-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 8-10,Time 50 mins,apple
Baked Apple Cinnamon French Toast,Breakfast,,https://www.traderjoes.com/home/recipes/baked-apple-cinnamon-french-toast,https://www.traderjoes.com/content/dam/trjo/context-images/81676-apple-cinn-sourdough-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 8-10,Time 50 mins,fleur sel caramel sauce
Citrusy Roasted Chicken Thighs & Fennel,Dinner,,https://www.traderjoes.com/home/recipes/citrusy-roasted-chicken-thighs-fennel,https://www.traderjoes.com/content/dam/trjo/context-images/95748-fresh-fennel-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 45 mins,extra virgin olive oil
Citrusy Roasted Chicken Thighs & Fennel,Dinner,1,https://www.traderjoes.com/home/recipes/citrusy-roasted-chicken-thighs-fennel,https://www.traderjoes.com/content/dam/trjo/context-images/95748-fresh-fennel-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 45 mins,fennel bulb
Citrusy Roasted Chicken Thighs & Fennel,Dinner,1,https://www.traderjoes.com/home/recipes/citrusy-roasted-chicken-thighs-fennel,https://www.traderjoes.com/content/dam/trjo/context-images/95748-fresh-fennel-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 45 mins,lemon
Citrusy Roasted Chicken Thighs & Fennel,Dinner,1,https://www.traderjoes.com/home/recipes/citrusy-roasted-chicken-thighs-fennel,https://www.traderjoes.com/content/dam/trjo/context-images/95748-fresh-fennel-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 45 mins,orange
Citrusy Roasted Chicken Thighs & Fennel,Dinner,6 cloves,https://www.traderjoes.com/home/recipes/citrusy-roasted-chicken-thighs-fennel,https://www.traderjoes.com/content/dam/trjo/context-images/95748-fresh-fennel-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 45 mins,garlic
