category,product_name,price,unit,url,norm_name
Cheese,Organic Plain Cream Cheese Spread,$3.49,/8 Oz,https://www.traderjoes.com/home/products/pdp/organic-plain-cream-cheese-spread-075423,plain cream cheese spread
Cheese,Dairy-Free Mozzarella Style Shreds,$3.99,/7 Oz,https://www.traderjoes.com/home/products/pdp/dairy-free-mozzarella-style-shreds-066299,dairy-free mozzarella style shreds
Cheese,Dairy-Free Cheddar Style Slices,$3.99,/7 Oz,https://www.traderjoes.com/home/products/pdp/dairy-free-cheddar-style-slices-065062,dairy-free cheddar style slices
Cheese,Sliced Muenster Cheese,$4.49,/12 Oz,https://www.traderjoes.com/home/products/pdp/sliced-muenster-cheese-073329,sliced muenster cheese
Cheese,Burrata,$4.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/burrata-098671,burrata
Cheese,Crumbled Feta,$3.29,/6 Oz,https://www.traderjoes.com/home/products/pdp/crumbled-feta-025966,feta
Cheese,Fresh Mozzarella Pearls,$4.49,/8 Oz,https://www.traderjoes.com/home/products/pdp/fresh-mozzarella-pearls-076317,mozzarella pearls
Cheese,Raw Milk Cave Aged Le Gruyère,$19.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/raw-milk-cave-aged-le-gruyere-097621,milk cave aged le gruyère
Cheese,Sliced Sharp Cheddar Cheese,$4.79,/12 Oz,https://www.traderjoes.com/home/products/pdp/sliced-sharp-cheddar-cheese-077728,sliced sharp cheddar cheese
Cheese,Toscano Cheese with Black Pepper,$11.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/toscano-cheese-with-black-pepper-094535,toscano cheese with black pepper
Cheese,Traditional Whole Milk Ricotta Cheese,$3.99,/16 Oz,https://www.traderjoes.com/home/products/pdp/traditional-whole-milk-ricotta-cheese-050920,traditional whole milk ricotta cheese
Cheese,Double Crème Brie with Truffles,$9.99,/8.5 Oz,https://www.traderjoes.com/home/products/pdp/double-creme-brie-with-truffles-093288,double crème brie with truffles
Cheese,Creamy Toscano Cheese Dusted with Cinnamon,$11.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/creamy-toscano-cheese-dusted-with-cinnamon-095115,creamy toscano cheese dusted with cinnamon
Cheese,Unexpected Cheddar Cheese Spread,$4.99,/9 Oz,https://www.traderjoes.com/home/products/pdp/unexpected-cheddar-cheese-spread-074802,cheddar cheese spread
Cheese,Mascarpone,$3.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/mascarpone-042747,mascarpone
Cheese,Sliced Provolone Cheese,$4.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/sliced-provolone-cheese-079681,sliced provolone cheese
Cheese,Crumbled Goat Cheese,$2.99,/4 Oz,https://www.traderjoes.com/home/products/pdp/crumbled-goat-cheese-076929,goat cheese
Cheese,All Natural Fresh Mozzarella Cheese,$3.99,/0.5 Lb,https://www.traderjoes.com/home/products/pdp/all-natural-fresh-mozzarella-cheese-077726,mozzarella cheese
Cheese,Finely Shredded Mexican Style Cheese Blend,$3.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/finely-shredded-mexican-style-cheese-blend-082338,shredded mexican style cheese blend
Cheese,Quattro Formaggi,$5.49,/12 Oz,https://www.traderjoes.com/home/products/pdp/quattro-formaggi-052954,quattro formaggi
Cheese,White Stilton with Cranberries,$12.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/white-stilton-with-cranberries-068448,white stilton with cranberries
Cheese,Cranberry Chèvre Goat Cheese,$5.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/cranberry-chevre-goat-cheese-092966,cranberry chèvre goat cheese
