title,category,url,image_url,serves,time,ingredients
Baked Egg Nog French Toast,Breakfast,https://www.traderjoes.com/home/recipes/baked-egg-nog-french-toast,https://www.traderjoes.com/content/dam/trjo/context-images/47904-egg-nog-french-toast-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 11,Time 50 mins,"['2 tablespoons TJ’s Unsalted Butter, for greasing pan', '6 TJ’s Eggs', '2 cups TJ’s Egg Nog', '2 tablespoons TJ’s Organic Brown Sugar', '1 teaspoon TJ’s Organic Pure Bourbon Vanilla Extract', '¼ teaspoon TJ’s Sea Salt', '½ teaspoon TJ’s Ground Nutmeg, plus more to serve', '1 loaf TJ’s Braided & Sliced Brioche', 'Your favorite TJ’s Maple Syrup, to serve', 'TJ’s Whipped Cream, to serve']"
Egg Nog Milkshake,Beverages & Desserts,https://www.traderjoes.com/home/recipes/egg-nog-milkshake,https://www.traderjoes.com/content/dam/trjo/context-images/47904-egg-nog-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 2,Time 5 mins,"[""2 cups TJ's Premium Vanilla Ice Cream"", ""3/4 cup TJ's Egg Nog (seasonal)"", ""1 tsp TJ's Ground Nutmeg"", ""1 tsp TJ's Ground Cinnamon, plus a sprinkle for garnish"", ""2 TJ's Cinnamon Sticks""]"
Tangy Grilled Chicken Tenders,Dinner,https://www.traderjoes.com/home/recipes/tangy-grilled-chicken-tenders,https://www.traderjoes.com/content/dam/trjo/context-images/78900-strained-greek-yogurt-plain-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4-6,Time 1 h 30 mins,"[""1 cup TJ's Strained Thick & Creamy Plain Greek Yogurt"", ""1 teaspoon TJ's Cuban Style Citrusy Garlic Seasoning Blend"", ""1 teaspoon TJ's Smoked Paprika"", ""2 tablespoons juice from a TJ's Lemon"", ""1 1/2-2 pounds TJ's All Natural Chicken Breast Tenders"", ""Your favorite TJ's Oil or Oil Spray, for greasing the grill grates"", ""A few sprigs TJ's Cilantro, chopped, for garnish"", ""1 TJ's Persian Cucumber, sliced into thin coins""]"
Panettone & Egg Nog Bread Pudding,Desserts,https://www.traderjoes.com/home/recipes/panettone-egg-nog-bread-pudding,https://www.traderjoes.com/content/dam/trjo/context-images/20487-panettone-2-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 8-10,Time 50 mins,"[""TJ's Unsalted Butter, for greasing pan"", ""1 box (26.5 oz) TJ's Panettone"", ""1 quart TJ's Egg Nog"", ""TJ's Organic Powdered Cane Sugar, for dusting""]"
Cheesy Chive-y Biscuits,Appetizers & Sides,https://www.traderjoes.com/home/recipes/cheesy-chivey-biscuits,https://www.traderjoes.com/content/dam/trjo/context-images/87175-Cotswold-Double-Gloucester-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 8,Time 25 mins,"['1 package TJ’s Organic Biscuits', '1 cup finely shredded TJ’s Cotswold® Double Gloucester with Chive and Onion', ""3 tablespoons TJ's Chives""]"
Marinated Manchego,Appetizers & Sides,https://www.traderjoes.com/home/recipes/marinated-manchego,https://www.traderjoes.com/content/dam/trjo/context-images/33331-manchego-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 6-8,Time 4 h 30 mins - 8 h 30 mins,"[""1/2 cup of your favorite TJ's Extra Virgin Olive Oil"", ""6 cloves of TJ's Garlic, smashed"", ""Rind from 1/2 TJ's Orange, peeled and sliced into thin strips"", ""A few small sprigs TJ's Rosemary"", ""2 teaspoons TJ's Rainbow Peppercorns"", ""1 block TJ's Manchego Cheese, cut into bite-sized cubes"", ""TJ's Sea Salt""]"
Cheesy Hash Brown Casserole,Appetizers & Sides & Breakfast,https://www.traderjoes.com/home/recipes/cheesy-hash-brown-casserole,https://www.traderjoes.com/content/dam/trjo/context-images/55288-stuffing-kettle-chips-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 8,Time 55 mins - 1 h 5 mins,"[""2 tablespoons TJ's Canola Oil"", ""1 bag TJ's Shredded Hash Browns, thawed"", ""1 carton TJ's Condensed Cream of Portabella Mushroom Soup"", ""1/2 package (6 ounces) TJ's Shredded Sharp Cheddar"", ""6 slices TJ's Fully Cooked Uncured Bacon, prepared according to package instructions then chopped"", ""1/4 cup TJ's Chives, finely diced, divided"", ""TJ's Sea Salt & TJ's Pepper"", ""1 bag TJ's Turkey and Stuffing Seasoned Kettle Chips, crushed"", ""TJ's Sour Cream""]"
Gingerosa,Beverages,https://www.traderjoes.com/home/recipes/gingerosa,https://www.traderjoes.com/content/dam/trjo/context-images/51857-Triple-Ginger-Brew-redo-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4-6,Time 5 mins,"[""1 bottle TJ's Triple Ginger Brew (seasonal)"", ""1 cup TJ's 100% Orange Juice"", 'Ice', ""1/2 bag TJ's Organic Whole Fresh Cranberries (seasonal), rinsed"", ""3/4 cup TJ's Organic Sugar, divided (for optional step)"", '1/2 cup water (for optional step)', ""TJ's Mint, for garnish"", ""1 TJ's Navel Orange, sliced, for garnish""]"
Herby Compound Butter,Appetizers & Sides,https://www.traderjoes.com/home/recipes/herby-compound-butter,https://www.traderjoes.com/content/dam/trjo/context-images/06253-62480-CompoundButters-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 6-8,Time 5 mins - 1 h,"[""1 stick TJ's Unsalted Butter, softened"", ""1/3 package TJ's Fresh Rosemary, destemmed"", ""1/3 package TJ's Fresh Thyme, destemmed"", ""1/3 package TJ's Fresh Sage, destemmed"", ""TJ's Sea Salt"", ""TJ's Rainbow Peppercorns""]"
Garlicky Sweet Chili Green Beans,Appetizers & Sides,https://www.traderjoes.com/home/recipes/garlicky-sweet-chili-green-beans,https://www.traderjoes.com/content/dam/trjo/context-images/39509-french-green-beans-vid-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 8,Time 20 mins,"['TJ’s Organic Canola Oil Spray', '1 24-ounce bag of frozen TJ’s French Green Beans', '1 medium-sized TJ’s Red Onion, cut into ¼-inch thick slices', '8 TJ’s Garlic Cloves, roughly chopped', '2 teaspoons TJ’s Sea Salt', '1 bottle TJ’s Sweet Chili Sauce', '1 ½ cups TJ’s Dry Roasted & Salted Almonds, chopped']"
